               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,   metrics/angry_mAP, metrics/disgust_mAP,    metrics/fear_mAP,   metrics/happy_mAP, metrics/neutral_mAP,     metrics/sad_mAP,metrics/surprise_mAP,metrics/angry_mAP_50,metrics/disgust_mAP_50, metrics/fear_mAP_50,metrics/happy_mAP_50,metrics/neutral_mAP_50,  metrics/sad_mAP_50,metrics/surprise_mAP_50
                   0,            0.068786,            0.052228,            0.053297,            0.099154,             0.68156,               0.145,            0.059725,             0.03854,            0.018226,            0.031443,            0.070186,           0.0033126,           0.0033126,             0.05898,            0.059725,            0.049021,            0.060327,            0.082915,            0.055744,            0.051362,             0.16079,               0.145,             0.11802,             0.18038,             0.19744,             0.12949,            0.083885
                   1,            0.046134,            0.037137,            0.048142,             0.10675,              0.8204,             0.15545,            0.087225,            0.031904,            0.015285,            0.032129,            0.040055,           0.0065144,           0.0065144,             0.10292,            0.087225,            0.041896,             0.12017,            0.094849,            0.085001,            0.078521,             0.17898,             0.15545,            0.088952,             0.22777,             0.18502,              0.1407,              0.1113
                   2,            0.041752,            0.033891,            0.046822,              0.1768,             0.85472,             0.21932,              0.1329,            0.034325,            0.014764,            0.032247,           0.0097912,           0.0095841,           0.0095841,             0.15003,              0.1329,            0.085457,             0.14895,             0.20295,             0.10299,             0.10699,             0.27382,             0.21932,              0.1871,               0.279,             0.30138,             0.16386,             0.11077
                   3,            0.035972,            0.032829,            0.044415,             0.20066,             0.87489,             0.31681,             0.19978,            0.030578,            0.014916,            0.029741,            0.009406,            0.009406,            0.009406,             0.21899,             0.19978,             0.18926,             0.32521,             0.19542,             0.12238,             0.14741,             0.37226,             0.31681,             0.31884,             0.58751,             0.29458,             0.17592,             0.15175
                   4,            0.031499,            0.029934,            0.042896,             0.29888,             0.70901,             0.32589,             0.20482,            0.026696,            0.014415,            0.027436,            0.009406,            0.009406,            0.009406,             0.11627,             0.20482,             0.11294,             0.43922,              0.1958,             0.14052,             0.22413,             0.21187,             0.32589,             0.17725,             0.71011,             0.31199,             0.23076,             0.31336
                   5,            0.029398,             0.03006,            0.041133,             0.24955,             0.66105,             0.32067,             0.20903,            0.028994,            0.014354,             0.02653,            0.009208,            0.009208,            0.009208,             0.18676,             0.20903,             0.17933,             0.44838,               0.207,             0.14213,            0.090556,             0.31193,             0.32067,             0.28572,             0.71956,              0.3028,             0.20534,            0.098696
                   6,            0.027868,            0.027756,            0.040274,             0.25323,             0.83381,             0.34487,             0.22038,            0.026796,            0.014505,            0.028104,             0.00901,             0.00901,             0.00901,             0.21406,             0.22038,             0.22417,             0.43272,             0.19912,             0.13183,             0.12036,             0.34734,             0.34487,             0.33268,             0.72982,             0.29961,             0.21294,             0.14682
                   7,            0.026168,            0.028007,            0.040148,             0.26068,             0.81224,             0.36251,             0.22573,            0.029684,            0.014369,            0.028717,            0.008812,            0.008812,            0.008812,             0.20034,             0.22573,             0.24966,             0.45434,              0.2065,             0.12983,              0.1137,             0.33441,             0.36251,             0.45927,             0.75242,             0.30482,             0.20645,             0.11769
                   8,            0.024746,            0.027987,            0.039744,             0.25425,             0.76703,             0.34945,             0.22808,            0.029158,             0.01389,             0.02686,            0.008614,            0.008614,            0.008614,             0.21203,             0.22808,             0.20486,             0.47503,             0.23515,             0.14092,             0.10048,             0.35765,             0.34945,             0.32683,             0.75064,             0.33628,             0.22234,             0.10297
                   9,            0.023958,            0.026412,            0.038816,              0.2772,             0.83412,             0.40009,             0.26223,            0.025412,             0.01422,            0.029232,            0.008416,            0.008416,            0.008416,             0.25876,             0.26223,             0.19437,             0.49597,             0.23659,             0.15026,              0.2374,             0.41366,             0.40009,             0.29824,             0.80327,             0.35893,             0.23654,              0.2899
